Transaction_ID,Customer_ID,Transaction_Date,Amount,Payment_Method,Device,Location,Status,Failure_Reason
TXN2770,CUST1690,2026-01-04,1238.51,UPI,Mobile,Hyderabad,Success,None
TXN0549,CUST1091,2026-01-04,1249.79,Debit Card,Tablet,Delhi,Success,None
TXN0542,CUST1511,2026-01-04,2057.1,Credit Card,Desktop,Pune,Success,None
TXN0591,CUST1819,2026-01-04,752.37,UPI,Mobile,Delhi,Success,None
TXN1046,CUST1084,2026-01-04,4264.12,UPI,Mobile,Delhi,Failed,Technical Error
TXN1266,CUST1232,2026-01-04,1023.64,UPI,Mobile,Pune,Success,None
TXN2345,CUST1645,2026-01-04,934.84,Debit Card,Tablet,Bangalore,Success,None
TXN1457,CUST1502,2026-01-04,2281.69,UPI,Desktop,Delhi,Success,None
TXN0631,CUST1188,2026-01-04,410.43,Debit Card,Desktop,Bangalore,Success,None
TXN1760,CUST1914,2026-01-05,1103.38,UPI,Mobile,Mumbai,Success,None
TXN0627,CUST1236,2026-01-05,413.36,UPI,Mobile,Hyderabad,Success,None
TXN2668,CUST1297,2026-01-05,2583.12,UPI,Mobile,Mumbai,Success,None
TXN0380,CUST1815,2026-01-05,1097.02,Wallet,Mobile,Delhi,Success,None
TXN2125,CUST1574,2026-01-05,659.27,UPI,Desktop,Delhi,Success,None
TXN0494,CUST1322,2026-01-05,1113.61,Debit Card,Mobile,Delhi,Failed,Technical Error
TXN1343,CUST1434,2026-01-05,949.88,Net Banking,Mobile,Delhi,Success,None
TXN1360,CUST1653,2026-01-05,5411.87,UPI,Desktop,Chennai,Success,None
TXN0729,CUST1604,2026-01-05,4155.99,Net Banking,Mobile,Hyderabad,Success,None
TXN0147,CUST1418,2026-01-05,515.61,UPI,Mobile,Mumbai,Success,None
TXN0251,CUST1410,2026-01-05,844.24,Credit Card,Mobile,Chennai,Success,None
TXN2408,CUST1523,2026-01-05,828.31,Credit Card,Mobile,Mumbai,Success,None
TXN0379,CUST1658,2026-01-05,638.32,UPI,Desktop,Mumbai,Success,None
TXN0099,CUST1401,2026-01-05,1287.58,Credit Card,Desktop,Chennai,Success,None
TXN1059,CUST1799,2026-01-06,1143.49,UPI,Mobile,Chennai,Success,None
TXN1064,CUST1550,2026-01-06,989.71,UPI,Mobile,Chennai,Failed,Bank Declined
TXN0174,CUST1738,2026-01-06,581.2,UPI,Mobile,Mumbai,Success,None
TXN2246,CUST1344,2026-01-06,1076.4,Debit Card,Mobile,Delhi,Success,None
TXN1782,CUST1733,2026-01-06,1242.3,Wallet,Mobile,Chennai,Success,None
TXN1273,CUST1033,2026-01-06,3598.25,Credit Card,Mobile,Pune,Success,None
TXN2162,CUST1002,2026-01-06,2711.57,Wallet,Mobile,Mumbai,Failed,Insufficient Funds
TXN2534,CUST1773,2026-01-06,1111.38,Debit Card,Tablet,Hyderabad,Success,None
TXN2973,CUST1668,2026-01-06,3959.77,Debit Card,Mobile,Chennai,Success,None
TXN0780,CUST1879,2026-01-06,727.14,Wallet,Mobile,Bangalore,Success,None
TXN2401,CUST1526,2026-01-06,828.29,UPI,Mobile,Chennai,Success,None
TXN2048,CUST1250,2026-01-06,1428.7,Credit Card,Desktop,Delhi,Success,None
TXN0289,CUST1854,2026-01-07,1756.7,UPI,Mobile,Hyderabad,Success,None
TXN0006,CUST1071,2026-01-07,1075.85,Debit Card,Mobile,Mumbai,Success,None
TXN0194,CUST1690,2026-01-07,858.57,UPI,Desktop,Delhi,Success,None
TXN2106,CUST1379,2026-01-07,1416.24,Wallet,Mobile,Pune,Success,None
TXN1629,CUST1709,2026-01-07,3061.96,Credit Card,Mobile,Hyderabad,Success,None
TXN0674,CUST1801,2026-01-07,708.49,UPI,Desktop,Bangalore,Success,None
TXN1231,CUST1002,2026-01-07,1159.6,Credit Card,Mobile,Delhi,Success,None
TXN2486,CUST1400,2026-01-07,686.62,UPI,Desktop,Chennai,Success,None
TXN0809,CUST1947,2026-01-07,857.91,Credit Card,Mobile,Hyderabad,Success,None
TXN2818,CUST1192,2026-01-07,1822.31,Credit Card,Mobile,Chennai,Success,None
TXN0067,CUST1600,2026-01-07,1016.36,Net Banking,Mobile,Mumbai,Success,None
TXN0268,CUST1112,2026-01-07,1392.24,UPI,Desktop,Bangalore,Success,None
TXN1696,CUST1642,2026-01-07,467.94,Wallet,Desktop,Chennai,Success,None
TXN2233,CUST1215,2026-01-07,3333.59,Credit Card,Mobile,Chennai,Success,None
TXN2830,CUST1302,2026-01-08,1195.01,UPI,Mobile,Chennai,Success,None
TXN1548,CUST1209,2026-01-08,1130.61,UPI,Mobile,Bangalore,Success,None
TXN2808,CUST1128,2026-01-08,1299.19,Credit Card,Mobile,Mumbai,Success,None
TXN1528,CUST1282,2026-01-08,977.31,UPI,Tablet,Delhi,Success,None
TXN1825,CUST1074,2026-01-08,684.0,Credit Card,Mobile,Chennai,Success,None
TXN1020,CUST1460,2026-01-08,612.23,Debit Card,Mobile,Bangalore,Success,None
TXN0990,CUST1882,2026-01-08,2447.8,UPI,Mobile,Pune,Success,None
TXN2682,CUST1622,2026-01-08,3404.1,Debit Card,Desktop,Hyderabad,Success,None
TXN2609,CUST1958,2026-01-08,984.31,Wallet,Mobile,Chennai,Failed,Bank Declined
TXN1784,CUST1225,2026-01-08,723.84,Credit Card,Desktop,Hyderabad,Success,None
TXN1828,CUST1127,2026-01-08,356.54,UPI,Desktop,Bangalore,Failed,Insufficient Funds
TXN0345,CUST1935,2026-01-08,2061.39,UPI,Mobile,Pune,Success,None
TXN0357,CUST1414,2026-01-08,622.81,Credit Card,Mobile,Chennai,Failed,Network Error
TXN0820,CUST1041,2026-01-08,1428.64,UPI,Mobile,Mumbai,Failed,Technical Error
TXN0383,CUST1403,2026-01-08,1702.52,UPI,Mobile,Pune,Success,None
TXN0793,CUST1264,2026-01-08,2192.73,Credit Card,Mobile,Pune,Success,None
TXN2314,CUST1241,2026-01-08,321.07,Debit Card,Mobile,Mumbai,Success,None
TXN1628,CUST1179,2026-01-08,591.06,Net Banking,Mobile,Pune,Success,None
TXN0121,CUST1052,2026-01-08,533.97,Wallet,Desktop,Mumbai,Success,None
TXN1708,CUST1799,2026-01-08,1371.57,UPI,Mobile,Hyderabad,Success,None
TXN1429,CUST1850,2026-01-08,804.57,Credit Card,Desktop,Bangalore,Success,None
TXN1130,CUST1983,2026-01-08,4241.71,Debit Card,Desktop,Bangalore,Failed,Insufficient Funds
TXN0104,CUST1957,2026-01-08,351.65,Credit Card,Mobile,Pune,Success,None
TXN1341,CUST1391,2026-01-08,629.14,Net Banking,Mobile,Mumbai,Success,None
TXN2012,CUST1151,2026-01-09,2431.53,UPI,Mobile,Pune,Failed,Invalid Details
TXN0861,CUST1341,2026-01-09,344.21,UPI,Mobile,Chennai,Success,None
TXN2590,CUST1811,2026-01-09,1410.47,Wallet,Desktop,Mumbai,Success,None
TXN0979,CUST1723,2026-01-09,2510.72,Wallet,Mobile,Bangalore,Success,None
TXN1097,CUST1763,2026-01-09,1461.72,Net Banking,Desktop,Mumbai,Success,None
TXN2916,CUST1776,2026-01-09,1313.27,UPI,Mobile,Mumbai,Success,None
TXN1453,CUST1992,2026-01-09,830.91,UPI,Tablet,Hyderabad,Success,None
TXN1864,CUST1633,2026-01-09,1095.17,Credit Card,Desktop,Bangalore,Success,None
TXN0022,CUST1308,2026-01-09,1280.55,UPI,Mobile,Hyderabad,Success,None
TXN2902,CUST1735,2026-01-10,1054.67,UPI,Desktop,Hyderabad,Failed,Network Error
TXN0024,CUST1343,2026-01-10,2040.02,Credit Card,Mobile,Mumbai,Success,None
TXN0340,CUST1863,2026-01-10,660.52,UPI,Desktop,Delhi,Success,None
TXN0501,CUST1322,2026-01-10,3322.37,UPI,Mobile,Pune,Success,None
TXN0206,CUST1748,2026-01-10,740.18,Net Banking,Mobile,Mumbai,Success,None
TXN1863,CUST1701,2026-01-10,630.86,Debit Card,Desktop,Mumbai,Success,None
TXN0405,CUST1913,2026-01-10,644.11,UPI,Desktop,Mumbai,Failed,Technical Error
TXN2014,CUST1619,2026-01-10,776.37,Debit Card,Mobile,Pune,Success,None
TXN0253,CUST1317,2026-01-10,723.62,Credit Card,Desktop,Bangalore,Success,None
TXN0421,CUST1815,2026-01-10,414.79,Credit Card,Mobile,Mumbai,Success,None
TXN1899,CUST1547,2026-01-10,1894.71,Net Banking,Tablet,Bangalore,Success,None
TXN2215,CUST1113,2026-01-10,1200.66,UPI,Desktop,Mumbai,Success,None
TXN1511,CUST1156,2026-01-10,2042.93,Debit Card,Mobile,Chennai,Success,None
TXN2174,CUST1609,2026-01-10,1549.87,Credit Card,Desktop,Pune,Success,None
TXN2203,CUST1175,2026-01-10,3151.42,UPI,Mobile,Hyderabad,Success,None
TXN1162,CUST1092,2026-01-10,362.66,Credit Card,Mobile,Chennai,Success,None
TXN0420,CUST1276,2026-01-11,360.62,UPI,Desktop,Chennai,Success,None
TXN1353,CUST1224,2026-01-11,876.27,UPI,Mobile,Hyderabad,Success,None
TXN0790,CUST1232,2026-01-11,1103.43,UPI,Desktop,Hyderabad,Success,None
TXN0059,CUST1484,2026-01-11,1382.9,UPI,Desktop,Chennai,Failed,Network Error
TXN1591,CUST1935,2026-01-11,1850.02,UPI,Desktop,Delhi,Failed,Technical Error
TXN2444,CUST1893,2026-01-11,327.85,Credit Card,Mobile,Chennai,Success,None
TXN2606,CUST1444,2026-01-11,2220.1,Debit Card,Mobile,Hyderabad,Success,None
TXN1111,CUST1165,2026-01-11,3043.06,Debit Card,Mobile,Bangalore,Failed,Bank Declined
TXN1743,CUST1164,2026-01-11,3680.93,Net Banking,Mobile,Pune,Success,None
TXN2899,CUST1472,2026-01-11,9536.89,UPI,Mobile,Mumbai,Success,None
TXN1006,CUST1064,2026-01-11,5942.9,UPI,Mobile,Mumbai,Success,None
TXN1791,CUST1363,2026-01-11,1335.88,Credit Card,Tablet,Bangalore,Success,None
TXN0257,CUST1233,2026-01-11,853.09,UPI,Mobile,Pune,Success,None
TXN2846,CUST1303,2026-01-11,4455.43,UPI,Tablet,Pune,Failed,Network Error
TXN0182,CUST1502,2026-01-12,1479.31,UPI,Mobile,Chennai,Success,None
TXN1699,CUST1457,2026-01-12,924.27,Credit Card,Mobile,Hyderabad,Success,None
TXN1669,CUST1304,2026-01-12,511.0,UPI,Mobile,Delhi,Success,None
TXN0232,CUST1639,2026-01-12,786.79,Debit Card,Mobile,Mumbai,Success,None
TXN1004,CUST1800,2026-01-12,1194.25,UPI,Mobile,Pune,Success,None
TXN0807,CUST1395,2026-01-12,950.88,Credit Card,Mobile,Bangalore,Success,None
TXN0832,CUST1657,2026-01-12,1250.26,Credit Card,Mobile,Bangalore,Success,None
TXN0444,CUST1437,2026-01-12,2341.01,UPI,Mobile,Chennai,Success,None
TXN2743,CUST1823,2026-01-12,864.46,UPI,Mobile,Chennai,Success,None
TXN0791,CUST1914,2026-01-12,527.19,Credit Card,Mobile,Pune,Success,None
TXN2786,CUST1038,2026-01-12,394.1,UPI,Mobile,Delhi,Success,None
TXN1125,CUST1400,2026-01-12,761.02,UPI,Tablet,Chennai,Success,None
TXN2115,CUST1844,2026-01-12,1581.5,Debit Card,Desktop,Hyderabad,Success,None
TXN1183,CUST1045,2026-01-12,2021.39,Credit Card,Desktop,Chennai,Success,None
TXN1364,CUST1893,2026-01-12,1065.94,Credit Card,Desktop,Mumbai,Success,None
TXN2838,CUST1963,2026-01-12,419.83,Debit Card,Desktop,Chennai,Success,None
TXN0134,CUST1856,2026-01-12,887.9,UPI,Mobile,Hyderabad,Success,None
TXN1529,CUST1068,2026-01-12,1871.2,Net Banking,Mobile,Chennai,Success,None
TXN1063,CUST1071,2026-01-12,531.05,Debit Card,Mobile,Hyderabad,Success,None
TXN0516,CUST1784,2026-01-12,1760.77,UPI,Mobile,Mumbai,Success,None
TXN1586,CUST1000,2026-01-13,723.91,Credit Card,Mobile,Hyderabad,Success,None
TXN2482,CUST1213,2026-01-13,553.7,Net Banking,Desktop,Bangalore,Success,None
TXN0843,CUST1173,2026-01-13,420.82,UPI,Desktop,Hyderabad,Success,None
TXN0509,CUST1662,2026-01-13,311.78,Debit Card,Mobile,Hyderabad,Success,None
TXN1654,CUST1560,2026-01-13,855.83,Debit Card,Mobile,Pune,Success,None
TXN0462,CUST1191,2026-01-13,1081.79,UPI,Mobile,Chennai,Success,None
TXN0095,CUST1771,2026-01-13,771.55,UPI,Mobile,Bangalore,Success,None
TXN0412,CUST1719,2026-01-13,645.16,UPI,Mobile,Hyderabad,Success,None
TXN1499,CUST1864,2026-01-13,1004.77,UPI,Mobile,Bangalore,Success,None
TXN2930,CUST1132,2026-01-13,1414.99,UPI,Desktop,Bangalore,Failed,Network Error
TXN2700,CUST1423,2026-01-13,1727.21,Net Banking,Mobile,Delhi,Success,None
TXN1612,CUST1902,2026-01-13,1036.22,Credit Card,Desktop,Delhi,Success,None
TXN0306,CUST1202,2026-01-13,873.13,Wallet,Mobile,Chennai,Success,None
TXN2089,CUST1664,2026-01-13,964.19,Credit Card,Tablet,Chennai,Success,None
TXN2883,CUST1330,2026-01-13,876.49,Debit Card,Mobile,Pune,Failed,Network Error
TXN1642,CUST1966,2026-01-13,892.46,Credit Card,Tablet,Hyderabad,Success,None
TXN1482,CUST1419,2026-01-13,606.93,Credit Card,Desktop,Delhi,Failed,Technical Error
TXN2605,CUST1034,2026-01-13,2797.88,Net Banking,Mobile,Chennai,Success,None
TXN1406,CUST1136,2026-01-13,584.04,UPI,Mobile,Hyderabad,Success,None
TXN2795,CUST1851,2026-01-13,3358.8,UPI,Desktop,Delhi,Success,None
TXN2993,CUST1107,2026-01-13,1051.99,Net Banking,Mobile,Pune,Success,None
TXN2641,CUST1577,2026-01-13,707.43,UPI,Tablet,Chennai,Success,None
TXN2146,CUST1726,2026-01-14,1700.4,Credit Card,Mobile,Pune,Success,None
TXN0550,CUST1353,2026-01-14,1526.7,UPI,Mobile,Pune,Success,None
TXN0517,CUST1103,2026-01-14,1160.44,Credit Card,Mobile,Bangalore,Success,None
TXN0950,CUST1735,2026-01-14,652.25,UPI,Desktop,Mumbai,Success,None
TXN2750,CUST1956,2026-01-14,873.31,Credit Card,Mobile,Delhi,Success,None
TXN0213,CUST1838,2026-01-14,1219.64,UPI,Tablet,Mumbai,Success,None
TXN0657,CUST1911,2026-01-14,1449.41,Credit Card,Desktop,Delhi,Success,None
TXN0766,CUST1036,2026-01-14,406.41,Credit Card,Mobile,Bangalore,Success,None
TXN0196,CUST1863,2026-01-14,893.75,Wallet,Mobile,Pune,Failed,Network Error
TXN2075,CUST1339,2026-01-14,1731.9,Credit Card,Mobile,Delhi,Success,None
TXN2954,CUST1398,2026-01-14,239.45,UPI,Desktop,Pune,Success,None
TXN0292,CUST1224,2026-01-14,478.07,UPI,Tablet,Hyderabad,Success,None
TXN1517,CUST1843,2026-01-14,1641.12,UPI,Mobile,Pune,Success,None
TXN2521,CUST1142,2026-01-15,1719.62,Debit Card,Desktop,Bangalore,Success,None
TXN0422,CUST1915,2026-01-15,723.01,Net Banking,Mobile,Chennai,Success,None
TXN1943,CUST1956,2026-01-15,600.44,Credit Card,Mobile,Delhi,Success,None
TXN2061,CUST1476,2026-01-15,1186.62,Net Banking,Mobile,Chennai,Success,None
TXN1769,CUST1915,2026-01-15,1716.31,UPI,Mobile,Hyderabad,Success,None
TXN2261,CUST1534,2026-01-15,1141.75,Net Banking,Mobile,Pune,Success,None
TXN2032,CUST1981,2026-01-15,1556.16,Net Banking,Mobile,Mumbai,Success,None
TXN0896,CUST1360,2026-01-15,1349.45,Net Banking,Mobile,Bangalore,Success,None
TXN2859,CUST1088,2026-01-15,5688.72,UPI,Mobile,Mumbai,Success,None
TXN1029,CUST1517,2026-01-15,3163.19,UPI,Mobile,Chennai,Success,None
TXN0023,CUST1769,2026-01-15,1113.09,Debit Card,Desktop,Bangalore,Success,None
TXN2927,CUST1153,2026-01-15,633.09,Credit Card,Mobile,Hyderabad,Success,None
TXN1681,CUST1193,2026-01-16,1202.95,Debit Card,Desktop,Chennai,Success,None
TXN0901,CUST1347,2026-01-16,405.53,Credit Card,Mobile,Hyderabad,Success,None
TXN0158,CUST1779,2026-01-16,229.19,Debit Card,Mobile,Chennai,Success,None
TXN2296,CUST1413,2026-01-16,2989.35,UPI,Desktop,Bangalore,Success,None
TXN1472,CUST1553,2026-01-16,310.22,UPI,Mobile,Mumbai,Success,None
TXN2109,CUST1439,2026-01-16,2301.11,Wallet,Desktop,Pune,Failed,Technical Error
TXN1796,CUST1631,2026-01-16,1619.24,Net Banking,Mobile,Mumbai,Success,None
TXN2608,CUST1949,2026-01-16,2345.08,UPI,Mobile,Chennai,Success,None
TXN0999,CUST1241,2026-01-16,1526.97,UPI,Mobile,Bangalore,Success,None
TXN0836,CUST1073,2026-01-16,658.02,Credit Card,Desktop,Hyderabad,Success,None
TXN1617,CUST1528,2026-01-16,754.69,UPI,Mobile,Bangalore,Success,None
TXN2006,CUST1442,2026-01-16,884.51,Credit Card,Mobile,Hyderabad,Failed,Invalid Details
TXN2002,CUST1371,2026-01-16,613.85,Wallet,Desktop,Mumbai,Success,None
TXN1700,CUST1978,2026-01-16,1486.24,Debit Card,Mobile,Chennai,Success,None
TXN0423,CUST1503,2026-01-17,899.63,Credit Card,Desktop,Pune,Success,None
TXN2492,CUST1591,2026-01-17,2080.69,Credit Card,Desktop,Mumbai,Success,None
TXN0546,CUST1882,2026-01-17,776.7,Credit Card,Desktop,Mumbai,Success,None
TXN0330,CUST1659,2026-01-17,3776.9,UPI,Mobile,Mumbai,Success,None
TXN2840,CUST1000,2026-01-17,2970.92,Debit Card,Desktop,Hyderabad,Success,None
TXN1102,CUST1849,2026-01-17,1235.08,Credit Card,Mobile,Hyderabad,Success,None
TXN0891,CUST1659,2026-01-17,2433.03,Credit Card,Tablet,Hyderabad,Success,None
TXN2270,CUST1081,2026-01-17,535.15,UPI,Mobile,Hyderabad,Success,None
TXN1820,CUST1028,2026-01-17,3277.15,Debit Card,Desktop,Pune,Success,None
TXN1668,CUST1284,2026-01-17,2539.98,Credit Card,Mobile,Bangalore,Success,None
TXN1366,CUST1510,2026-01-17,378.12,UPI,Mobile,Delhi,Success,None
TXN2160,CUST1144,2026-01-17,613.26,UPI,Desktop,Chennai,Success,None
TXN0276,CUST1385,2026-01-17,908.4,UPI,Desktop,Pune,Success,None
TXN1734,CUST1087,2026-01-17,715.12,Wallet,Mobile,Mumbai,Success,None
TXN0366,CUST1571,2026-01-17,1079.44,UPI,Desktop,Hyderabad,Success,None
TXN2015,CUST1187,2026-01-17,2014.37,UPI,Mobile,Hyderabad,Success,None
TXN1333,CUST1503,2026-01-17,1105.02,Net Banking,Mobile,Delhi,Success,None
TXN1882,CUST1675,2026-01-17,1199.98,Debit Card,Desktop,Chennai,Success,None
TXN1592,CUST1910,2026-01-17,2919.05,UPI,Mobile,Mumbai,Success,None
TXN2480,CUST1391,2026-01-17,964.5,UPI,Mobile,Mumbai,Success,None
TXN0723,CUST1753,2026-01-17,662.95,UPI,Desktop,Chennai,Failed,Insufficient Funds
TXN1883,CUST1112,2026-01-18,744.08,UPI,Mobile,Hyderabad,Success,None
TXN2921,CUST1815,2026-01-18,368.47,Debit Card,Desktop,Bangalore,Success,None
TXN1806,CUST1520,2026-01-18,487.41,UPI,Mobile,Chennai,Success,None
TXN0446,CUST1282,2026-01-18,3003.74,UPI,Mobile,Delhi,Success,None
TXN2340,CUST1459,2026-01-18,1243.08,Wallet,Mobile,Delhi,Success,None
TXN2943,CUST1497,2026-01-18,4006.76,UPI,Mobile,Hyderabad,Success,None
TXN1288,CUST1442,2026-01-18,2376.68,Net Banking,Desktop,Mumbai,Success,None
TXN2430,CUST1939,2026-01-18,842.37,UPI,Desktop,Chennai,Success,None
TXN1542,CUST1362,2026-01-18,703.23,Credit Card,Mobile,Hyderabad,Success,None
TXN1631,CUST1855,2026-01-18,768.61,UPI,Desktop,Chennai,Success,None
TXN1427,CUST1164,2026-01-19,994.92,UPI,Tablet,Chennai,Success,None
TXN0478,CUST1348,2026-01-19,983.49,Credit Card,Mobile,Delhi,Success,None
TXN1237,CUST1507,2026-01-19,1232.66,Net Banking,Mobile,Pune,Success,None
TXN1807,CUST1551,2026-01-19,1259.35,Debit Card,Mobile,Hyderabad,Success,None
TXN1121,CUST1796,2026-01-19,259.67,Debit Card,Mobile,Delhi,Success,None
TXN0576,CUST1052,2026-01-19,1642.14,Net Banking,Mobile,Delhi,Failed,Invalid Details
TXN2726,CUST1512,2026-01-19,513.57,Net Banking,Desktop,Delhi,Success,None
TXN0829,CUST1732,2026-01-19,939.49,Wallet,Desktop,Hyderabad,Success,None
TXN1503,CUST1158,2026-01-19,1454.48,Credit Card,Desktop,Delhi,Success,None
TXN0038,CUST1856,2026-01-19,779.76,Credit Card,Mobile,Hyderabad,Success,None
TXN2137,CUST1752,2026-01-19,573.34,Credit Card,Mobile,Mumbai,Success,None
TXN2304,CUST1571,2026-01-19,2299.89,Net Banking,Desktop,Pune,Success,None
TXN2459,CUST1394,2026-01-19,2168.29,Credit Card,Desktop,Bangalore,Success,None
TXN0969,CUST1868,2026-01-19,411.03,UPI,Mobile,Delhi,Success,None
TXN0078,CUST1955,2026-01-19,1104.24,Credit Card,Mobile,Pune,Failed,Technical Error
TXN0960,CUST1347,2026-01-19,738.15,Debit Card,Mobile,Pune,Failed,Bank Declined
TXN1338,CUST1193,2026-01-19,1674.41,UPI,Desktop,Delhi,Success,None
TXN0522,CUST1175,2026-01-20,2087.65,UPI,Mobile,Mumbai,Failed,Bank Declined
TXN0532,CUST1524,2026-01-20,490.51,Net Banking,Desktop,Mumbai,Success,None
TXN2188,CUST1520,2026-01-20,2190.88,Debit Card,Mobile,Hyderabad,Success,None
TXN2834,CUST1986,2026-01-20,500.41,Credit Card,Mobile,Bangalore,Failed,Technical Error
TXN2789,CUST1494,2026-01-20,876.87,UPI,Mobile,Pune,Success,None
TXN0205,CUST1230,2026-01-20,3056.78,Credit Card,Mobile,Delhi,Success,None
TXN0545,CUST1971,2026-01-20,1021.51,UPI,Mobile,Pune,Success,None
TXN2547,CUST1083,2026-01-20,855.27,UPI,Mobile,Delhi,Success,None
TXN2732,CUST1120,2026-01-20,4561.06,Debit Card,Mobile,Hyderabad,Success,None
TXN2999,CUST1958,2026-01-20,581.28,Credit Card,Mobile,Delhi,Success,None
TXN1361,CUST1319,2026-01-20,481.44,Debit Card,Desktop,Pune,Success,None
TXN1012,CUST1852,2026-01-20,694.39,Wallet,Desktop,Mumbai,Success,None
TXN0755,CUST1738,2026-01-20,1432.79,Debit Card,Tablet,Pune,Success,None
TXN2688,CUST1129,2026-01-20,1191.63,UPI,Mobile,Mumbai,Success,None
TXN0240,CUST1376,2026-01-20,533.79,Debit Card,Desktop,Mumbai,Success,None
TXN1039,CUST1996,2026-01-20,1899.5,Net Banking,Mobile,Hyderabad,Success,None
TXN2853,CUST1703,2026-01-20,978.87,Credit Card,Mobile,Pune,Success,None
